#Flux units are: #nu/POT/m^2/MeV
#Energy Flux
0.0 0.0
25.0 4.03953992727e-12
75.0 1.42159163593e-11
125.0 4.24623084525e-11
175.0 2.5451591176e-11
225.0 2.72842735158e-11
275.0 2.86770522713e-11
325.0 2.96931993286e-11
375.0 2.92065033856e-11
425.0 2.82834236751e-11
475.0 2.75699158312e-11
525.0 2.63301996279e-11
575.0 2.62796019091e-11
625.0 2.47173121728e-11
675.0 2.29087737967e-11
725.0 2.416996795e-11
775.0 2.2575997036e-11
825.0 1.99119113687e-11
875.0 1.90077849523e-11
925.0 1.90023228753e-11
975.0 1.83312804187e-11
1025.0 1.63416213209e-11
1075.0 1.65959740206e-11
1125.0 1.51106127767e-11
1175.0 1.52224256213e-11
1225.0 1.38008182946e-11
1275.0 1.29153638699e-11
1325.0 1.32536649052e-11
1375.0 1.18478175933e-11
1425.0 1.13954617738e-11
1475.0 1.11902380822e-11
1525.0 1.00171524336e-11
1575.0 1.00451795043e-11
1625.0 1.01629272688e-11
1675.0 8.63959299809e-12
1725.0 7.67617958044e-12
1775.0 8.10829645372e-12
1825.0 7.02095226824e-12
1875.0 6.48215809018e-12
1925.0 6.44794872286e-12
1975.0 6.05639314318e-12
2025.0 5.55032089182e-12
2075.0 5.36445866601e-12
2125.0 4.92599622755e-12
2175.0 4.76420375245e-12
2225.0 4.26972003824e-12
2275.0 4.11859550565e-12
2325.0 3.78059945039e-12
2375.0 3.78233214732e-12
2425.0 3.51335948599e-12
2475.0 3.24321567279e-12
2525.0 3.13085683252e-12
2575.0 3.31251860236e-12
2625.0 2.45857572558e-12
2675.0 2.5442316671e-12
2725.0 2.21955242848e-12
2775.0 2.07409017134e-12
2825.0 1.8630499473e-12
2875.0 1.74319029278e-12
2925.0 1.63656988463e-12
2975.0 1.55135816094e-12
3025.0 1.29818854021e-12
3075.0 1.27154757398e-12
3125.0 1.15278547677e-12
3175.0 1.20907020869e-12
3225.0 1.03838622066e-12
3275.0 8.79474977052e-13
3325.0 9.86886107074e-13
3375.0 8.00170166674e-13
3425.0 7.68782748799e-13
3475.0 6.64854549872e-13
3525.0 6.97341998821e-13
3575.0 5.42691818484e-13
3625.0 4.98421067425e-13
3675.0 4.81661650927e-13
3725.0 4.31134832046e-13
3775.0 3.87514151557e-13
3825.0 3.60779115932e-13
3875.0 3.22806818039e-13
3925.0 2.98837453668e-13
3975.0 2.87826673583e-13
4025.0 2.39147736395e-13
4075.0 2.44800624781e-13
4125.0 2.153206357e-13
4175.0 1.87300566585e-13
4225.0 1.89640484907e-13
4275.0 1.97370961901e-13
4325.0 1.63644719022e-13
4375.0 1.63349545637e-13
4425.0 1.55356241966e-13
4475.0 1.27066974017e-13
4525.0 1.24826834637e-13
4575.0 9.87891582832e-14
4625.0 1.03219884404e-13
4675.0 7.67859857095e-14
4725.0 6.7407035816e-14
4775.0 5.36155375702e-14
4825.0 5.5915141224e-14
4875.0 4.74084315557e-14
4925.0 4.04863020294e-14
4975.0 3.53656379381e-14
5025.0 3.82054338458e-14
5075.0 2.90128640567e-14
5125.0 2.57994548219e-14
5175.0 2.57805260886e-14
5225.0 2.20700954193e-14
5275.0 1.65913232176e-14
5325.0 1.47299241563e-14
5375.0 1.3307985897e-14
5425.0 1.34848947326e-14
5475.0 1.14829969001e-14
5525.0 6.75721197151e-15
5575.0 6.14730146031e-15
5625.0 4.23451824594e-15
5675.0 3.79381365817e-15
5725.0 4.44238816392e-15
5775.0 2.79657867065e-15
5825.0 3.97541567936e-15
5875.0 2.93220807621e-15
5925.0 2.972123794e-15
5975.0 2.26561403622e-15
6025.0 4.22089302982e-16
6075.0 8.79782142408e-16
6125.0 2.66721594824e-16
6175.0 3.35416464028e-16
6225.0 8.10811140023e-16
6275.0 2.49545343102e-16
6325.0 1.47541884698e-17
6375.0 2.49545343102e-16
6425.0 2.49545343102e-16
6475.0 1.85039765511e-17
6525.0 8.64755936494e-18
6575.0 0.0
6625.0 0.0
6675.0 0.0
6725.0 0.0
6775.0 0.0
6825.0 0.0
6875.0 0.0
6925.0 0.0
6975.0 0.0
7025.0 0.0
7075.0 0.0
7125.0 0.0
7175.0 0.0
7225.0 0.0
7275.0 0.0
7325.0 0.0
7375.0 0.0
7425.0 0.0
7475.0 0.0
7525.0 0.0
7575.0 0.0
7625.0 0.0
7675.0 0.0
7725.0 0.0
7775.0 0.0
7825.0 0.0
7875.0 0.0
7925.0 0.0
7975.0 0.0
8025.0 0.0
8075.0 0.0
8125.0 0.0
8175.0 0.0
8225.0 0.0
8275.0 0.0
8325.0 0.0
8375.0 0.0
8425.0 0.0
8475.0 0.0
8525.0 0.0
8575.0 0.0
8625.0 0.0
8675.0 0.0
8725.0 0.0
8775.0 0.0
8825.0 0.0
8875.0 0.0
8925.0 0.0
8975.0 0.0
9025.0 0.0
9075.0 0.0
9125.0 0.0
9175.0 0.0
9225.0 0.0
9275.0 0.0
9325.0 0.0
9375.0 0.0
9425.0 0.0
9475.0 0.0
9525.0 0.0
9575.0 0.0
9625.0 0.0
9675.0 0.0
9725.0 0.0
9775.0 0.0
9825.0 0.0
9875.0 0.0
9925.0 0.0
